"","state","total votes","Democrat Votes","Percent Democrat Votes","Republican Votes","Percent Republican Votes"
"9","Alabama","2,099,819","813,479","38.7%","1,266,546","60.3%"
"10","Alaska","326,197","123,594","37.9%","193,841","59.4%"
"11","Arizona","2,293,475","1,034,707","45.1%","1,230,111","53.6%"
"12","Arkansas","1,086,617","422,310","38.9%","638,017","58.7%"
"13","California","13,561,900","8,274,473","61.0%","5,011,781","37.0%"
"14","Colorado","2,401,361","1,288,576","53.7%","1,073,589","44.7%"
"15","Connecticut","1,646,792","997,772","60.6%","629,428","38.2%"
"16","Delaware","412,412","255,459","61.9%","152,374","36.9%"
"17","Dist. of Col.","265,853","245,800","92.5%","17,367","6.5%"
"18","Florida","8,390,744","4,282,074","51.0%","4,045,624","48.2%"
"19","Georgia","3,924,440","1,844,137","47.0%","2,048,744","52.2%"
"20","Hawaii","453,568","325,871","71.8%","120,566","26.6%"
"21","Idaho","655,032","236,440","36.1%","403,012","61.5%"
"22","Illinois","5,523,051","3,419,673","61.9%","2,031,527","36.8%"
"23","Indiana","2,751,054","1,374,039","49.9%","1,345,648","48.9%"
"24","Iowa","1,543,662","828,940","53.7%","682,379","44.2%"
"25","Kansas","1,235,872","514,765","41.7%","699,655","56.6%"
"26","Kentucky","1,826,508","751,985","41.2%","1,048,462","57.4%"
"27","Louisiana","1,960,761","782,989","39.9%","1,148,275","58.6%"
"28","Maine","731,163","421,923","57.7%","295,273","40.4%"
"29","CD-1","383,626","232,145","60.5%","144,604","37.7%"
"30","CD-2","347,537","189,778","54.6%","150,669","43.4%"
"31","Maryland","2,631,596","1,629,467","61.9%","959,862","36.5%"
"32","Massachusetts","3,080,985","1,904,097","61.8%","1,108,854","36.0%"
"33","Michigan","5,001,766","2,872,579","57.4%","2,048,639","41.0%"
"34","Minnesota","2,910,369","1,573,354","54.1%","1,275,409","43.8%"
"35","Mississippi","1,289,865","554,662","43.0%","724,597","56.2%"
"36","Missouri","2,925,205","1,441,911","49.3%","1,445,814","49.4%"
"37","Montana","490,109","231,667","47.3%","242,763","49.5%"
"38","Nebraska","801,281","333,319","41.6%","452,979","56.5%"
"39","CD-1","273,893","121,411","44.3%","148,179","54.1%"
"40","CD-2","277,809","138,809","50.0%","135,439","48.8%"
"41","CD-3","246,742","73,099","29.6%","169,361","68.6%"
"42","Nevada","967,848","533,736","55.1%","412,827","42.7%"
"43","New Hampshire","707,611","384,826","54.4%","316,534","44.7%"
"44","New Jersey","3,868,237","2,215,422","57.3%","1,613,207","41.7%"
"45","New Mexico","830,158","472,422","56.9%","346,832","41.8%"
"46","New York","7,591,233","4,769,700","62.8%","2,742,298","36.1%"
"47","North Carolina","4,310,789","2,142,651","49.7%","2,128,474","49.4%"
"48","North Dakota","316,621","141,278","44.6%","168,601","53.3%"
"49","Ohio","5,698,260","2,933,388","51.5%","2,674,491","46.9%"
"50","Oklahoma","1,462,661","502,496","34.4%","960,165","65.6%"
"51","Oregon","1,827,864","1,037,291","56.7%","738,475","40.4%"
"52","Pennsylvania","6,034,745","3,276,363","54.3%","2,655,885","44.0%"
"53","Rhode Island","469,767","296,571","63.1%","165,391","35.2%"
"54","South Carolina","1,920,969","862,449","44.9%","1,034,896","53.9%"
"55","South Dakota","381,975","170,924","44.7%","203,054","53.2%"
"56","Tennessee","2,599,749","1,087,437","41.8%","1,479,178","56.9%"
"57","Texas","8,077,795","3,528,633","43.7%","4,479,328","55.5%"
"58","Utah","952,370","327,670","34.4%","596,030","62.6%"
"59","Vermont","325,046","219,262","67.5%","98,974","30.4%"
"60","Virginia","3,723,260","1,959,532","52.6%","1,725,005","46.3%"
"61","Washington","3,036,878","1,750,848","57.7%","1,229,216","40.5%"
"62","West Virginia","713,362","303,857","42.6%","397,466","55.7%"
"63","Wisconsin","2,983,417","1,677,211","56.2%","1,262,393","42.3%"
"64","Wyoming","256,035","82,868","32.4%","164,958","64.4%"
