"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"11","Alabama","2,074,338","1,255,925","60.5%","795,696","38.4%",NA,NA,2012
"12","Alaska","300,495","164,676","54.8%","122,640","40.8%",NA,NA,2012
"13","Arizona","2,299,254","1,233,654","53.7%","1,025,232","44.6%",NA,NA,2012
"14","Arkansas","1,069,468","647,744","60.6%","394,409","36.9%",NA,NA,2012
"15","California","13,038,547","4,839,958","37.1%","7,854,285","60.2%",NA,NA,2012
"16","Colorado","2,569,520","1,185,243","46.1%","1,323,101","51.5%",NA,NA,2012
"17","Connecticut","1,558,960","634,892","40.7%","905,083","58.1%",NA,NA,2012
"18","Delaware","413,921","165,484","40.0%","242,584","58.6%",NA,NA,2012
"19","District of Columbia","293,764","21,381","7.3%","267,070","90.9%",NA,NA,2012
"20","Florida","8,474,179","4,163,447","49.1%","4,237,756","50.0%",NA,NA,2012
"21","Georgia","3,900,050","2,078,688","53.3%","1,773,827","45.5%",NA,NA,2012
"22","Hawaii","434,697","121,015","27.8%","306,658","70.5%",NA,NA,2012
"23","Idaho","652,274","420,911","64.5%","212,787","32.6%",NA,NA,2012
"24","Illinois","5,242,014","2,135,216","40.7%","3,019,512","57.6%",NA,NA,2012
"25","Indiana","2,624,534","1,420,543","54.1%","1,152,887","43.9%",NA,NA,2012
"26","Iowa","1,582,180","730,617","46.2%","822,544","52.0%",NA,NA,2012
"27","Kansas","1,159,971","692,634","59.7%","440,726","38.0%",NA,NA,2012
"28","Kentucky","1,797,212","1,087,190","60.5%","679,370","37.8%",NA,NA,2012
"29","Louisiana","1,994,065","1,152,262","57.8%","809,141","40.6%",NA,NA,2012
"30","Maine","713,180","292,276","41.0%","401,306","56.3%",NA,NA,2012
"31","Maryland","2,707,327","971,869","35.9%","1,677,844","62.0%",NA,NA,2012
"32","Massachusetts","3,167,767","1,188,314","37.5%","1,921,290","60.7%",NA,NA,2012
"33","Michigan","4,730,961","2,115,256","44.7%","2,564,569","54.2%",NA,NA,2012
"34","Minnesota","2,936,561","1,320,225","45.0%","1,546,167","52.7%",NA,NA,2012
"35","Mississippi","1,285,584","710,746","55.3%","562,949","43.8%",NA,NA,2012
"36","Missouri","2,757,323","1,482,440","53.8%","1,223,796","44.4%",NA,NA,2012
"37","Montana","484,048","267,928","55.4%","201,839","41.7%",NA,NA,2012
"38","Nebraska","794,379","475,064","59.8%","302,081","38.0%",NA,NA,2012
"39","Nevada","1,014,918","463,567","45.7%","531,373","52.4%",NA,NA,2012
"40","New Hampshire","710,972","329,918","46.5%","369,561","52.0%",NA,NA,2012
"41","New Jersey","3,638,499","1,478,088","40.6%","2,122,786","58.3%",NA,NA,2012
"42","New Mexico","783,758","335,788","42.8%","415,335","53.0%",NA,NA,2012
"43","New York","7,061,925","2,485,432","35.2%","4,471,871","63.4%",NA,NA,2012
"44","North Carolina","4,505,372","2,270,395","50.4%","2,178,391","48.4%",NA,NA,2012
"45","North Dakota","322,932","188,320","58.3%","124,966","38.7%",NA,NA,2012
"46","Ohio","5,580,822","2,661,407","47.7%","2,827,621","50.7%",NA,NA,2012
"47","Oklahoma","1,334,872","891,325","66.8%","443,547","33.2%",NA,NA,2012
"48","Oregon","1,789,270","754,175","42.1%","970,488","54.2%",NA,NA,2012
"49","Pennsylvania","5,753,670","2,680,434","46.7%","2,990,274","52.1%",NA,NA,2012
"50","Rhode Island","446,049","157,204","35.2%","279,677","62.7%",NA,NA,2012
"51","South Carolina","1,964,118","1,071,645","54.6%","865,941","44.1%",NA,NA,2012
"52","South Dakota","363,815","210,610","57.9%","145,039","39.9%",NA,NA,2012
"53","Tennessee","2,458,577","1,462,330","59.5%","960,709","39.1%",NA,NA,2012
"54","Texas","7,993,851","4,569,843","57.2%","3,308,124","41.4%",NA,NA,2012
"55","Utah","1,017,440","740,600","72.8%","251,813","24.7%",NA,NA,2012
"56","Vermont","299,290","92,698","31.0%","199,239","66.6%",NA,NA,2012
"57","Virginia","3,854,490","1,822,522","47.3%","1,971,820","51.2%",NA,NA,2012
"58","Washington","3,125,516","1,290,670","41.3%","1,755,396","56.2%",NA,NA,2012
"59","West Virginia","670,438","417,655","62.3%","238,269","35.5%",NA,NA,2012
"60","Wisconsin","3,071,434","1,410,966","46.0%","1,620,985","52.9%",NA,NA,2012
"61","Wyoming","249,061","170,962","68.6%","69,286","27.8%",NA,NA,2012
